,essay_id,pred,demographic_value,demographic_variable
2088,AAAXMP138200001769312144_OR,6.0,11,grade_level
2089,AAAXMP138200001050052125_OR,6.0,11,grade_level
2090,AAAXMP138200001248232810_OR,6.0,8,grade_level
2091,2251004918,2.0,8,grade_level
2092,AAAXMP138200000824872125_OR,6.0,11,grade_level
2093,2221003379,5.0,8,grade_level
2094,AAAXMP138200000768862810_OR,6.0,8,grade_level
2095,AAAXMP138200001663662125_OR,3.0,11,grade_level
2096,AAAXMP138200001093542810_OR,6.0,8,grade_level
2097,2311005113,1.0,8,grade_level
2098,2081002666,2.0,8,grade_level
2099,2091005218,6.0,8,grade_level
2100,AAAXMP138200000922022810_OR,6.0,8,grade_level
2101,2271005057,6.0,8,grade_level
2102,AAAXMP138200000780072810_OR,4.0,8,grade_level
2103,AAAXMP138200000608032810_OR,6.0,8,grade_level
2104,AAAUUP138180000097122125_OR,1.0,11,grade_level
2105,AAAXMP138200001000702125_OR,6.0,11,grade_level
2106,5.31318E+12,1.0,,grade_level
2107,AAAXMP138200002074242125_OR,6.0,11,grade_level
2108,AAAXMP138200001514462850_OR,2.0,8,grade_level
2109,AAAXMP138200001966992850_OR,2.0,8,grade_level
2110,AAAXMP138200001911902810_OR,6.0,8,grade_level
2111,AAAXMP138200001955832125_OR,6.0,11,grade_level
2112,AAAXMP138200001809202144_OR,6.0,11,grade_level
2113,AAAXMP138200002210282810_OR,5.0,8,grade_level
2114,2311003714,6.0,8,grade_level
2115,AAAXMP138200001604702850_OR,6.0,8,grade_level
2116,2311000421,5.0,8,grade_level
2117,2431007772,3.0,8,grade_level
2118,AAAXMP138200000985832144_OR,6.0,11,grade_level
2119,2221004707,6.0,8,grade_level
2120,5.43179E+12,6.0,,grade_level
2121,AAAXMP138200001263272144_OR,6.0,11,grade_level
2122,4.68009E+12,5.0,,grade_level
2123,AAAXMP138200001998132810_OR,6.0,8,grade_level
2124,AAAXMP138200000807782144_OR,6.0,11,grade_level
2125,2021006550,6.0,8,grade_level
2126,AAAXMP138200002073202810_OR,6.0,8,grade_level
2127,2171005555,6.0,8,grade_level
2128,AAAXMP138200000518842125_OR,5.0,11,grade_level
2129,AAAXMP138200000468132810_OR,6.0,8,grade_level
2130,2091000666,3.0,8,grade_level
2131,AAAXMP138200001630322810_OR,6.0,8,grade_level
2132,AAAXMP138200000747062850_OR,6.0,8,grade_level
2133,AAAXMP138200001560052125_OR,6.0,11,grade_level
2134,2171003366,3.0,8,grade_level
2135,AAAXMP138200001802472125_OR,6.0,11,grade_level
2136,AAAXMP138200001112072125_OR,6.0,11,grade_level
2137,AAAXMP138200000873902810_OR,6.0,8,grade_level
2138,567153115212010thLitAB,4.0,,grade_level
2139,AAAXMP138200000787542810_OR,6.0,8,grade_level
2140,2081004251,6.0,8,grade_level
2141,5.33934E+12,6.0,,grade_level
2142,AAAXMP138200001073162125_OR,3.0,12,grade_level
2143,AAAXMP138200002114552144_OR,6.0,10,grade_level
2144,4.68851E+12,6.0,,grade_level
2145,5.61333E+12,4.0,,grade_level
2146,2221000655,2.0,8,grade_level
2147,AAAXMP138200001542532125_OR,5.0,11,grade_level
2148,AAAXMP138200001043892125_OR,3.0,11,grade_level
2149,5.51574E+12,6.0,,grade_level
2150,AAAXMP138200001899302125_OR,4.0,11,grade_level
2151,AAAXMP138200001770402810_OR,5.0,8,grade_level
2152,AAAXMP138200000677272125_OR,4.0,11,grade_level
2153,AAAXMP138200000887542850_OR,6.0,8,grade_level
2154,2081006581,6.0,8,grade_level
2155,AAAXMP138200001850352850_OR,2.0,8,grade_level
2156,AAAXMP138200000462922810_OR,6.0,8,grade_level
2157,AAAXMP138200002145632850_OR,6.0,8,grade_level
2158,AAAXMP138200000788072125_OR,6.0,11,grade_level
2159,AAAXMP138200001315512144_OR,6.0,11,grade_level
2160,2431006491,1.0,8,grade_level
2161,AAAXMP138200001126052810_OR,3.0,8,grade_level
2162,5.12022E+12,5.0,,grade_level
2163,2311000707,3.0,8,grade_level
2164,AAAXMP138200001663322810_OR,5.0,8,grade_level
2165,AAAXMP138200001960722125_OR,6.0,11,grade_level
2166,5.78953E+12,6.0,,grade_level
2167,AAAXMP138200002174952810_OR,6.0,8,grade_level
2168,5.12595E+12,5.0,,grade_level
2169,AAAXMP138200000498962810_OR,6.0,8,grade_level
2170,AAAXMP138200001723322125_OR,3.0,11,grade_level
2171,2241006519,6.0,8,grade_level
2172,AAAXMP138200001771242125_OR,6.0,11,grade_level
2173,AAAXMP138200000598572810_OR,6.0,8,grade_level
2174,2021003739,5.0,8,grade_level
2175,AAAXMP138200000811832125_OR,6.0,10,grade_level
2176,5.4162E+12,6.0,,grade_level
2177,AAAXMP138200001905182144_OR,6.0,11,grade_level
2178,AAAXMP138200001212862810_OR,6.0,8,grade_level
2179,AAAXMP138200001118532144_OR,6.0,11,grade_level
2180,2241000758,6.0,8,grade_level
2181,2431007012,4.0,8,grade_level
2182,AAAXMP138200001730982850_OR,6.0,8,grade_level
2183,2241002327,5.0,8,grade_level
2184,AAAXMP138200001773252810_OR,6.0,8,grade_level
2185,AAAUUP138180000295232125_OR,6.0,12,grade_level
2186,2421006731,1.0,8,grade_level
2187,5.80382E+12,6.0,,grade_level
2188,AAAXMP138200000631242810_OR,6.0,8,grade_level
2189,AAAXMP138200001734322144_OR,6.0,11,grade_level
2190,AAAXMP138200000616272125_OR,2.0,12,grade_level
2191,2251000785,6.0,8,grade_level
2192,5.37539E+12,6.0,,grade_level
2193,2171000375,5.0,8,grade_level
2194,2431002959,1.0,8,grade_level
2195,5.2727E+12,6.0,,grade_level
2196,AAAXMP138200001889892125_OR,4.0,11,grade_level
2197,AAAXMP138200001956402125_OR,3.0,11,grade_level
2198,AAAXMP138200002199742810_OR,6.0,8,grade_level
2199,AAAXMP138200001437602125_OR,4.0,11,grade_level
2200,AAAXMP138200001883502125_OR,3.0,11,grade_level
2201,AAAXMP138200002003002850_OR,5.0,8,grade_level
2202,2311000448,5.0,8,grade_level
2203,2141005905,6.0,8,grade_level
2204,AAAXMP138200000708862810_OR,6.0,8,grade_level
2205,AAAXMP138200002075382144_OR,6.0,10,grade_level
2206,AAAXMP138200001487382144_OR,6.0,10,grade_level
2207,AAAXMP138200002212412810_OR,5.0,8,grade_level
2208,AAAXMP138200001073832810_OR,6.0,8,grade_level
2209,5.06006E+12,6.0,,grade_level
2210,2221001252,6.0,8,grade_level
2211,AAAXMP138200001376382810_OR,6.0,8,grade_level
2212,AAAXMP138200001553142144_OR,6.0,11,grade_level
2213,AAAXMP138200001770052850_OR,3.0,8,grade_level
2214,AAAXMP138200001833622144_OR,6.0,11,grade_level
2215,AAAUUP138180000128852125_OR,6.0,12,grade_level
2216,AAAXMP138200001936782125_OR,6.0,11,grade_level
2217,AAAXMP138200002009672810_OR,6.0,8,grade_level
2218,AAAXMP138200000646842810_OR,6.0,8,grade_level
2219,2271002317,2.0,8,grade_level
2220,AAAXMP138200000803702850_OR,6.0,8,grade_level
2221,AAAUUP138180000100822125_OR,6.0,12,grade_level
2222,AAAXMP138200000987472144_OR,6.0,11,grade_level
2223,2431006415,6.0,8,grade_level
2224,2141000377,6.0,8,grade_level
2225,AAAXMP138200001967772810_OR,6.0,8,grade_level
2226,AAAXMP138200001624792810_OR,5.0,8,grade_level
2227,2421000686,2.0,8,grade_level
2228,5.8047E+12,6.0,,grade_level
2229,AAAXMP138200000663572810_OR,6.0,8,grade_level
2230,AAAXMP138200000797332850_OR,6.0,8,grade_level
2231,AAAXMP138200001791462125_OR,6.0,11,grade_level
2232,AAAXMP138200000907262125_OR,6.0,11,grade_level
2233,AAAXMP138200000574752850_OR,6.0,8,grade_level
2234,2221007030,4.0,8,grade_level
2235,AAAXMP138200000803682125_OR,3.0,11,grade_level
2236,2221001571,2.0,8,grade_level
2237,AAAXMP138200001410722850_OR,6.0,8,grade_level
2238,AAAXMP138200001726122810_OR,6.0,8,grade_level
2239,2091000216,5.0,8,grade_level
2240,AAAUUP138180000060102125_OR,3.0,12,grade_level
2241,AAAXMP138200000576112810_OR,6.0,8,grade_level
2242,5.76205E+12,3.0,,grade_level
2243,2241004915,6.0,8,grade_level
2244,AAAXMP138200000802392810_OR,6.0,8,grade_level
2245,AAAXMP138200002013902810_OR,6.0,8,grade_level
2246,2311006896,6.0,8,grade_level
2247,AAAXMP138200001846852850_OR,6.0,8,grade_level
2248,5.82744E+12,1.0,,grade_level
2249,AAAXMP138200002053282850_OR,6.0,8,grade_level
2250,2251004977,6.0,8,grade_level
2251,AAAXMP138200001139532850_OR,3.0,8,grade_level
2252,AAAXMP138200000552822125_OR,6.0,11,grade_level
2253,2021000802,6.0,8,grade_level
2254,6.0015E+12,4.0,,grade_level
2255,2221002739,3.0,8,grade_level
2256,AAAXMP138200001445762810_OR,6.0,8,grade_level
2257,AAAXMP138200000551152850_OR,3.0,8,grade_level
2258,2431001065,6.0,8,grade_level
2259,AAAUUP138180000400832125_OR,2.0,12,grade_level
2260,5.76756E+12,6.0,,grade_level
2261,5.4033E+12,3.0,,grade_level
2262,AAAXMP138200001831192125_OR,6.0,11,grade_level
2263,AAAXMP138200000965362144_OR,6.0,11,grade_level
2264,AAAXMP138200000761772125_OR,6.0,11,grade_level
2265,AAAXMP138200001448162125_OR,6.0,11,grade_level
2266,AAAXMP138200000541512810_OR,6.0,8,grade_level
2267,AAAXMP138200001835002144_OR,6.0,11,grade_level
2268,2421005742,3.0,8,grade_level
2269,AAAXMP138200001741082810_OR,6.0,8,grade_level
2270,AAAXMP138200001087322810_OR,6.0,8,grade_level
2271,2251006171,6.0,8,grade_level
2272,AAAXMP138200001478372125_OR,3.0,11,grade_level
2273,5.35847E+12,6.0,,grade_level
2274,AAAXMP138200001033422125_OR,6.0,11,grade_level
2275,AAAXMP138200001031242144_OR,6.0,11,grade_level
2276,AAAXMP138200001788562850_OR,3.0,8,grade_level
2277,AAAXMP138200001165552850_OR,1.0,8,grade_level
2278,AAAUUP138180000388682125_OR,6.0,12,grade_level
2279,AAAXMP138200001707392125_OR,3.0,10,grade_level
2280,AAAUUP138180000387392125_OR,6.0,12,grade_level
2281,2431007063,6.0,8,grade_level
2282,AAAXMP138200002053442810_OR,6.0,8,grade_level
2283,AAAXMP138200001357202810_OR,6.0,8,grade_level
2284,AAAXMP138200001501172125_OR,6.0,11,grade_level
2285,AAAUUP138180000115042125_OR,6.0,12,grade_level
2286,AAAXMP138200001192412125_OR,1.0,12,grade_level
2287,AAAXMP138200000820152144_OR,6.0,10,grade_level
2288,2091006893,5.0,8,grade_level
2289,AAAXMP138200001276112810_OR,6.0,8,grade_level
2290,AAAXMP138200001068382125_OR,6.0,11,grade_level
2291,AAAXMP138200001844212125_OR,2.0,11,grade_level
2292,AAAXMP138200001895642810_OR,6.0,8,grade_level
2293,AAAXMP138200001788452125_OR,6.0,11,grade_level
2294,AAAXMP138200002033312810_OR,6.0,8,grade_level
2295,2241001266,6.0,8,grade_level
2296,2241002351,6.0,8,grade_level
2297,AAAXMP138200001025682125_OR,6.0,11,grade_level
2298,AAAXMP138200001521912144_OR,6.0,11,grade_level
2299,AAAXMP138200000690172810_OR,6.0,8,grade_level
2300,AAAXMP138200001391982810_OR,6.0,8,grade_level
2301,5.30939E+12,5.0,,grade_level
2302,AAAXMP138200001926882125_OR,3.0,11,grade_level
2303,AAAXMP138200000829912125_OR,6.0,11,grade_level
2304,AAAXMP138200002212742810_OR,6.0,8,grade_level
2305,AAAXMP138200001892262144_OR,6.0,11,grade_level
2306,AAAXMP138200000592682125_OR,4.0,11,grade_level
2307,2081005576,3.0,8,grade_level
2308,5.33792E+12,6.0,,grade_level
2309,2241002050,6.0,8,grade_level
2310,2221002747,6.0,8,grade_level
2311,AAAXMP138200000686142850_OR,1.0,8,grade_level
2312,AAAXMP138200001733332144_OR,6.0,11,grade_level
2313,AAAXMP138200001965102810_OR,6.0,8,grade_level
2314,AAAXMP138200001759592144_OR,3.0,11,grade_level
2315,AAAXMP138200002156942125_OR,6.0,11,grade_level
2316,AAAXMP138200001171382810_OR,6.0,8,grade_level
2317,AAAXMP138200002066912850_OR,6.0,8,grade_level
2318,AAAXMP138200001952262125_OR,3.0,10,grade_level
2319,2421001992,2.0,8,grade_level
2320,2141002493,6.0,8,grade_level
2321,2311006128,6.0,8,grade_level
2322,AAAUUP138180000099712125_OR,1.0,11,grade_level
2323,AAAXMP138200001156642125_OR,6.0,11,grade_level
2324,5.53979E+12,6.0,,grade_level
2325,2221006670,3.0,8,grade_level
2326,2311001703,3.0,8,grade_level
2327,AAAXMP138200001828232810_OR,6.0,8,grade_level
2328,2311006306,6.0,8,grade_level
2329,AAAXMP138200000811992144_OR,6.0,10,grade_level
2330,AAAXMP138200000760072810_OR,5.0,8,grade_level
2331,2271005022,6.0,8,grade_level
2332,AAAXMP138200001349782810_OR,6.0,8,grade_level
2333,AAAXMP138200000558482810_OR,6.0,8,grade_level
2334,AAAXMP138200001482082144_OR,6.0,11,grade_level
2335,AAAXMP138200000803812144_OR,6.0,11,grade_level
2336,AAAXMP138200001168242850_OR,3.0,8,grade_level
2337,AAAXMP138200002163092144_OR,3.0,11,grade_level
2338,AAAXMP138200002142602144_OR,6.0,10,grade_level
2339,AAAXMP138200001274522810_OR,6.0,8,grade_level
2340,2221006858,4.0,8,grade_level
2341,AAAXMP138200001421022850_OR,6.0,8,grade_level
2342,AAAXMP138200001580052810_OR,6.0,8,grade_level
2343,AAAXMP138200000972572125_OR,6.0,11,grade_level
2344,AAAXMP138200001632172144_OR,6.0,11,grade_level
2345,2081003891,6.0,8,grade_level
2346,6.00744E+12,6.0,,grade_level
2347,AAAXMP138200000983492144_OR,6.0,11,grade_level
2348,AAAXMP138200001107262125_OR,5.0,11,grade_level
2349,2171000821,5.0,8,grade_level
2350,AAAXMP138200001651542125_OR,3.0,11,grade_level
2351,AAAXMP138200000682632850_OR,6.0,8,grade_level
2352,2251006210,6.0,8,grade_level
2353,2141004321,4.0,8,grade_level
2354,AAAXMP138200000481732125_OR,6.0,11,grade_level
2355,2141005417,5.0,8,grade_level
2356,AAAXMP138200001847862125_OR,2.0,11,grade_level
2357,AAAXMP138200001352432125_OR,6.0,11,grade_level
2358,AAAXMP138200001960602125_OR,3.0,11,grade_level
2359,AAAXMP138200001655102850_OR,2.0,8,grade_level
2360,2221002241,5.0,8,grade_level
2361,AAAXMP138200000557842850_OR,6.0,8,grade_level
2362,AAAXMP138200001832442144_OR,6.0,11,grade_level
2363,2021000420,4.0,8,grade_level
2364,2081002933,4.0,8,grade_level
2365,2241007264,6.0,8,grade_level
2366,2091004564,4.0,8,grade_level
2367,2081005762,4.0,8,grade_level
2368,AAAXMP138200002132032144_OR,6.0,10,grade_level
2369,AAAXMP138200001612282125_OR,1.0,11,grade_level
2370,2171004591,6.0,8,grade_level
2371,2091000313,4.0,8,grade_level
2372,AAAXMP138200001407212810_OR,6.0,8,grade_level
2373,2311001258,4.0,8,grade_level
2374,AAAXMP138200001985612810_OR,6.0,8,grade_level
2375,5.85822E+12,6.0,,grade_level
2376,AAAXMP138200001953602144_OR,6.0,11,grade_level
2377,AAAUUP138180000037742125_OR,3.0,12,grade_level
2378,2081001511,6.0,8,grade_level
2379,AAAXMP138200001690332850_OR,6.0,8,grade_level
2380,AAAXMP138200001453502125_OR,6.0,10,grade_level
2381,AAAXMP138200001816032125_OR,6.0,11,grade_level
2382,2311006250,1.0,8,grade_level
2383,2271000705,6.0,8,grade_level
2384,2021000110,6.0,8,grade_level
2385,2021004760,4.0,8,grade_level
2386,5.81041E+12,6.0,,grade_level
2387,575761115212010thLitAB,6.0,,grade_level
2388,AAAXMP138200001360732810_OR,6.0,8,grade_level
2389,AAAXMP138200002125732810_OR,3.0,8,grade_level
2390,5.37258E+12,4.0,,grade_level
2391,AAAXMP138200001646372810_OR,5.0,8,grade_level
2392,AAAXMP138200001840912144_OR,6.0,10,grade_level
2393,2271006142,6.0,8,grade_level
2394,AAAXMP138200000739682810_OR,6.0,8,grade_level
2395,2271002899,3.0,8,grade_level
2396,AAAXMP138200000911472850_OR,6.0,8,grade_level
2397,2251000696,5.0,8,grade_level
2398,2241003455,6.0,8,grade_level
2399,2251003768,3.0,8,grade_level
2400,AAAXMP138200001605262810_OR,6.0,8,grade_level
2401,AAAXMP138200002023382810_OR,6.0,8,grade_level
2402,AAAXMP138200001639272125_OR,6.0,11,grade_level
2403,5.64198E+12,5.0,,grade_level
2404,2221003280,6.0,8,grade_level
2405,2311001924,2.0,8,grade_level
2406,AAAXMP138200000785312144_OR,6.0,10,grade_level
2407,AAAXMP138200000772202144_OR,6.0,11,grade_level
2408,AAAXMP138200000935862125_OR,1.0,11,grade_level
2409,AAAXMP138200000775732144_OR,6.0,10,grade_level
2410,AAAXMP138200001862202125_OR,6.0,10,grade_level
2411,AAAUUP138180000129932125_OR,6.0,12,grade_level
2412,AAAXMP138200001093352144_OR,6.0,11,grade_level
2413,AAAUUP138180000053962125_OR,6.0,12,grade_level
2414,2421006820,2.0,8,grade_level
2415,AAAXMP138200000767872810_OR,6.0,8,grade_level
2416,2141006081,2.0,8,grade_level
2417,AAAXMP138200001940692125_OR,5.0,11,grade_level
2418,2141007614,2.0,8,grade_level
2419,2091002766,6.0,8,grade_level
2420,2091007377,4.0,8,grade_level
2421,AAAXMP138200001907842125_OR,3.0,11,grade_level
2422,AAAUUP138180000097342125_OR,2.0,12,grade_level
2423,AAAXMP138200000925192144_OR,6.0,11,grade_level
2424,5.27972E+12,3.0,,grade_level
2425,AAAXMP138200002134612810_OR,6.0,8,grade_level
2426,AAAXMP138200001325132810_OR,6.0,8,grade_level
2427,AAAUUP138180000367382125_OR,2.0,12,grade_level
2428,AAAXMP138200001227272810_OR,6.0,8,grade_level
2429,AAAXMP138200000506082850_OR,6.0,8,grade_level
2430,2311004222,6.0,8,grade_level
2431,AAAXMP138200001662102144_OR,6.0,11,grade_level
2432,AAAXMP138200001730502810_OR,6.0,8,grade_level
2433,AAAXMP138200001966532810_OR,6.0,8,grade_level
2434,2021003046,6.0,8,grade_level
2435,2141003864,6.0,8,grade_level
2436,AAAXMP138200001773242144_OR,6.0,11,grade_level
2437,2171006055,6.0,8,grade_level
2438,2141002477,6.0,8,grade_level
2439,AAAXMP138200001098472144_OR,6.0,11,grade_level
2440,AAAXMP138200001790412144_OR,6.0,11,grade_level
2441,AAAXMP138200000826232125_OR,4.0,11,grade_level
2442,AAAXMP138200001492512810_OR,6.0,8,grade_level
2443,AAAXMP138200002045752810_OR,6.0,8,grade_level
2444,AAAXMP138200000687312810_OR,6.0,8,grade_level
2445,AAAXMP138200000885942850_OR,3.0,8,grade_level
2446,AAAXMP138200000577912810_OR,5.0,8,grade_level
2447,2171006551,6.0,8,grade_level
2448,AAAUUP138180000185912125_OR,3.0,12,grade_level
2449,2251002761,6.0,8,grade_level
2450,AAAXMP138200001925482125_OR,2.0,11,grade_level
2451,AAAXMP138200000694002810_OR,6.0,8,grade_level
2452,AAAXMP138200002006242810_OR,6.0,8,grade_level
2453,AAAXMP138200002080022810_OR,5.0,8,grade_level
2454,5.35027E+12,3.0,,grade_level
2455,AAAXMP138200000549282810_OR,6.0,8,grade_level
2456,2251007518,1.0,8,grade_level
2457,AAAXMP138200000890122850_OR,6.0,8,grade_level
2458,2221005215,4.0,8,grade_level
2459,AAAXMP138200001779802144_OR,6.0,11,grade_level
2460,AAAXMP138200001490032810_OR,4.0,8,grade_level
2461,AAAXMP138200001268452144_OR,6.0,11,grade_level
2462,AAAXMP138200001382712125_OR,6.0,11,grade_level
2463,AAAXMP138200001854342125_OR,2.0,10,grade_level
2464,AAAXMP138200001421072810_OR,6.0,8,grade_level
2465,AAAUUP138180000119302125_OR,1.0,12,grade_level
2466,AAAXMP138200001047772810_OR,6.0,8,grade_level
2467,AAAXMP138200001660232125_OR,6.0,11,grade_level
2468,AAAXMP138200001407682125_OR,2.0,11,grade_level
2469,2431002061,6.0,8,grade_level
2470,AAAXMP138200001821682125_OR,6.0,11,grade_level
2471,AAAXMP138200000771632810_OR,6.0,8,grade_level
2472,AAAUUP138180000392592125_OR,6.0,12,grade_level
2473,AAAXMP138200001316982810_OR,6.0,8,grade_level
2474,AAAXMP138200000696642810_OR,6.0,8,grade_level
2475,2091004394,6.0,8,grade_level
2476,5.52739E+12,5.0,,grade_level
2477,2311004257,1.0,8,grade_level
2478,2221000647,6.0,8,grade_level
2479,AAAXMP138200002020912850_OR,4.0,8,grade_level
2480,AAAXMP138200001578472125_OR,6.0,11,grade_level
2481,AAAXMP138200001554792125_OR,3.0,11,grade_level
2482,AAAXMP138200001959232125_OR,6.0,11,grade_level
2483,2251003849,4.0,8,grade_level
2484,AAAXMP138200001537132125_OR,3.0,11,grade_level
2485,5.76295E+12,6.0,,grade_level
2486,5.65822E+12,6.0,,grade_level
2487,AAAXMP138200001951532144_OR,6.0,11,grade_level
2488,538598115212010thLitAB,5.0,,grade_level
2489,2021001264,6.0,8,grade_level
2490,AAAXMP138200001495202125_OR,5.0,11,grade_level
2491,AAAXMP138200001802292810_OR,4.0,8,grade_level
2492,AAAXMP138200002175022850_OR,6.0,8,grade_level
2493,3.86018E+12,6.0,,grade_level
2494,AAAXMP138200000810972850_OR,5.0,8,grade_level
2495,2251005639,4.0,8,grade_level
2496,AAAXMP138200000617112810_OR,6.0,8,grade_level
2497,AAAXMP138200000480962810_OR,6.0,8,grade_level
2498,AAAXMP138200001865252850_OR,3.0,8,grade_level
2499,2221005568,6.0,8,grade_level
2500,2221005410,6.0,8,grade_level
2501,AAAUUP138180000025552125_OR,6.0,12,grade_level
2502,5.34515E+12,6.0,,grade_level
2503,2021006398,6.0,8,grade_level
2504,2171002874,4.0,8,grade_level
2505,AAAXMP138200000756002850_OR,2.0,8,grade_level
2506,AAAXMP138200001373952125_OR,6.0,11,grade_level
2507,5.7472E+12,6.0,,grade_level
2508,AAAXMP138200001586142125_OR,6.0,11,grade_level
2509,2251004349,4.0,8,grade_level
2510,2311003897,6.0,8,grade_level
2511,AAAXMP138200001341032850_OR,6.0,8,grade_level
2512,AAAXMP138200002183952125_OR,6.0,11,grade_level
2513,AAAXMP138200000738312850_OR,3.0,8,grade_level
2514,AAAXMP138200000649202850_OR,3.0,8,grade_level
2515,AAAXMP138200002201932850_OR,3.0,8,grade_level
2516,2431006636,6.0,8,grade_level
2517,AAAXMP138200001889692850_OR,4.0,8,grade_level
2518,2171005806,1.0,8,grade_level
2519,AAAXMP138200001249642850_OR,6.0,8,grade_level
2520,AAAXMP138200000988252810_OR,6.0,8,grade_level
2521,AAAXMP138200000678732810_OR,6.0,8,grade_level
2522,AAAXMP138200000594342810_OR,6.0,8,grade_level
2523,AAAXMP138200001242702850_OR,5.0,8,grade_level
2524,2251002532,3.0,8,grade_level
2525,AAAXMP138200000890092850_OR,3.0,8,grade_level
2526,2251000084,6.0,8,grade_level
2527,AAAXMP138200000768932810_OR,6.0,8,grade_level
2528,AAAXMP138200001856882125_OR,6.0,11,grade_level
2529,2221001775,4.0,8,grade_level
2530,5.82999E+12,2.0,,grade_level
2531,AAAXMP138200002079982125_OR,1.0,10,grade_level
2532,AAAXMP138200001266342810_OR,6.0,8,grade_level
2533,2271006541,6.0,8,grade_level
2534,AAAXMP138200002115452810_OR,5.0,8,grade_level
2535,AAAXMP138200002113952144_OR,6.0,11,grade_level
2536,AAAXMP138200001105112125_OR,6.0,11,grade_level
2537,AAAXMP138200001125952810_OR,6.0,8,grade_level
2538,AAAXMP138200001193292810_OR,6.0,8,grade_level
2539,2091005439,6.0,8,grade_level
2540,AAAXMP138200001674922144_OR,6.0,11,grade_level
2541,2421005939,6.0,8,grade_level
2542,AAAXMP138200001567662144_OR,5.0,11,grade_level
2543,AAAUUP138180000259692125_OR,3.0,12,grade_level
2544,AAAXMP138200001891112810_OR,6.0,8,grade_level
2545,AAAXMP138200001160582144_OR,6.0,11,grade_level
2546,AAAXMP138200001339812810_OR,5.0,8,grade_level
2547,2421007702,3.0,8,grade_level
2548,AAAXMP138200001403072125_OR,6.0,11,grade_level
2549,4.67537E+12,6.0,,grade_level
2550,AAAUUP138180000091162125_OR,4.0,12,grade_level
2551,2421007427,6.0,8,grade_level
2552,AAAXMP138200001599962850_OR,3.0,8,grade_level
2553,2311001819,6.0,8,grade_level
2554,AAAXMP138200000987622125_OR,6.0,11,grade_level
2555,AAAXMP138200001854962144_OR,6.0,11,grade_level
2556,2241002904,4.0,8,grade_level
2557,AAAXMP138200002082912810_OR,5.0,8,grade_level
2558,2241006152,6.0,8,grade_level
2559,5.75427E+12,6.0,,grade_level
2560,AAAXMP138200000762152810_OR,6.0,8,grade_level
2561,2251001293,1.0,8,grade_level
2562,AAAXMP138200001098412125_OR,6.0,11,grade_level
2563,AAAXMP138200001871862144_OR,6.0,11,grade_level
2564,AAAXMP138200000559662850_OR,2.0,8,grade_level
2565,2311001886,2.0,8,grade_level
2566,AAAXMP138200001518922850_OR,6.0,8,grade_level
2567,AAAXMP138200001542212125_OR,6.0,11,grade_level
2568,2271003241,6.0,8,grade_level
2569,AAAXMP138200002157562144_OR,3.0,10,grade_level
2570,AAAXMP138200001575312810_OR,6.0,8,grade_level
2571,AAAUUP138180000133182125_OR_cleaned,6.0,12,grade_level
2572,5.74229E+12,6.0,,grade_level
2573,AAAXMP138200001998682850_OR,4.0,8,grade_level
2574,AAAXMP138200001869162144_OR,6.0,11,grade_level
2575,2221006335,6.0,8,grade_level
2576,2021005294,6.0,8,grade_level
2577,5.62032E+12,6.0,,grade_level
2578,2421003791,5.0,8,grade_level
2579,2141002302,6.0,8,grade_level
2580,2251007712,6.0,8,grade_level
2581,AAAXMP138200001890872810_OR,6.0,8,grade_level
2582,AAAXMP138200000967462125_OR,1.0,11,grade_level
2583,AAAXMP138200001030982125_OR,6.0,11,grade_level
2584,AAAXMP138200000959952125_OR,6.0,11,grade_level
2585,2431002886,1.0,8,grade_level
2586,AAAXMP138200001896862125_OR,3.0,11,grade_level
2587,AAAXMP138200001089402810_OR,6.0,8,grade_level
2588,2221002780,4.0,8,grade_level
2589,5.73473E+12,4.0,,grade_level
2590,AAAXMP138200001043352850_OR,6.0,8,grade_level
2591,5.87524E+12,5.0,,grade_level
2592,AAAXMP138200000493582125_OR,5.0,11,grade_level
2593,AAAXMP138200000799842144_OR,6.0,11,grade_level
2594,AAAXMP138200001384002810_OR,6.0,8,grade_level
2595,2171007159,3.0,8,grade_level
2596,2141001683,2.0,8,grade_level
2597,AAAXMP138200001072632125_OR,3.0,11,grade_level
2598,AAAXMP138200002116472125_OR,2.0,10,grade_level
2599,AAAXMP138200002078582810_OR,6.0,8,grade_level
2600,2311002050,6.0,8,grade_level
2601,AAAXMP138200001959022144_OR,6.0,11,grade_level
2602,AAAXMP138200000931502125_OR,1.0,11,grade_level
2603,2251002303,3.0,8,grade_level
2604,2091003541,5.0,8,grade_level
2605,AAAXMP138200001816002850_OR,6.0,8,grade_level
2606,2021002261,6.0,8,grade_level
2607,AAAXMP138200001885872810_OR,6.0,8,grade_level
2608,2241006098,6.0,8,grade_level
2609,2311005202,1.0,8,grade_level
2610,AAAXMP138200001271992125_OR,6.0,11,grade_level
2611,2241000367,6.0,8,grade_level
2612,AAAXMP138200001483392810_OR,6.0,8,grade_level
2613,AAAXMP138200001916172125_OR,3.0,11,grade_level
2614,AAAXMP138200001815692810_OR,6.0,8,grade_level
2615,AAAXMP138200002001752810_OR,6.0,8,grade_level
2616,2081000337,6.0,8,grade_level
2617,2311003013,1.0,8,grade_level
2618,AAAXMP138200000886612850_OR,5.0,8,grade_level
2619,5.41386E+12,6.0,,grade_level
2620,AAAXMP138200002162452810_OR,6.0,8,grade_level
2621,AAAXMP138200001343742810_OR,6.0,8,grade_level
