essay_id,demographic_value,pred
AAAXMP138200000736292810_OR,"M","4"
2081005410,"F","4"
4.55022E+12,"M","2"
5.76154E+12,"M","2"
AAAXMP138200001515252850_OR,"F","5"
AAAXMP138200001031062125_OR,"M","4"
2421004053,"M","4"
AAAXMP138200001617272810_OR,"M","6"
AAAXMP138200001322172125_OR,"M","6"
AAAXMP138200002121512810_OR,"F","5"
2251001528,"M","6"
AAAXMP138200000694322850_OR,"F","3"
2311000553,"F","3"
2251000360,"M","6"
2141004887,"F","5"
AAAXMP138200001039092125_OR,"F","6"
2431004773,"F","6"
AAAXMP138200001533502125_OR,"F","2"
2021006525,"F","5"
AAAUUP138180000392232125_OR,"M","4"
2241004494,"M","6"
2021004191,"M","5"
2421003219,"F","6"
AAAXMP138200000749442810_OR,"F","5"
AAAXMP138200000769272125_OR,"M","5"
4.30378E+12,"M","6"
AAAXMP138200001057142850_OR,"M","6"
2171005601,"F","4"
AAAXMP138200000605752850_OR,"M","5"
AAAXMP138200001829572850_OR,"F","3"
AAAXMP138200000767822810_OR,"F","5"
AAAXMP138200002120022144_OR,"M","5"
AAAXMP138200002157482810_OR,"M","5"
AAAXMP138200001055862144_OR,"F","5"
2021000187,"M","5"
5.35378E+12,"F","1"
5.38186E+12,"F","6"
AAAXMP138200000801472125_OR,"F","6"
AAAUUP138180000019752125_OR,"M","4"
AAAUUP138180000354462125_OR,"M","4"
AAAXMP138200001728762125_OR,"M","5"
5.73588E+12,"F","4"
AAAXMP138200000731482125_OR,"F","5"
5.58735E+12,"F","5"
5.07504E+12,"M","2"
AAAXMP138200001663682144_OR,"F","4"
2221000302,"M","5"
2241000014,"M","5"
AAAXMP138200001725902125_OR,"M","5"
AAAXMP138200000803022125_OR,"M","5"
5.63631E+12,"M","1"
AAAXMP138200001741052850_OR,"F","6"
2221001350,"F","5"
2021000748,"F","5"
AAAXMP138200001647842850_OR,"M","5"
2251003709,"M","2"
AAAXMP138200001496932810_OR,"F","5"
AAAXMP138200001493992810_OR,"F","6"
2141005727,"M","5"
5.72735E+12,"M","2"
2241001533,"M","5"
AAAXMP138200001708972850_OR,"F","5"
2021001957,"F","6"
AAAXMP138200000914162125_OR,"M","4"
AAAXMP138200001664202850_OR,"M","5"
2271004239,"M","5"
AAAXMP138200000897722810_OR,"M","5"
AAAXMP138200001871792810_OR,"F","5"
2141007657,"M","3"
